epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,4931.4,1.0446,0.73799,0.89972,0.87453,0.93397,0.9717,0.76412,0.82061,0.55223,0.8533,1.81292e-05,1.81292e-05,1.81292e-05
131,4963.1,0.99855,0.71072,0.88855,0.86156,0.9471,0.97195,0.7644,0.83381,0.55883,0.85596,1.7324e-05,1.7324e-05,1.7324e-05
132,4994.71,1.04427,0.73494,0.90617,0.86173,0.9494,0.97224,0.76334,0.83165,0.55747,0.85409,1.65188e-05,1.65188e-05,1.65188e-05
133,5024.15,1.01973,0.71913,0.88166,0.869,0.96062,0.97197,0.75941,0.81796,0.55433,0.85085,1.57136e-05,1.57136e-05,1.57136e-05
134,5054.11,0.96893,0.67945,0.86738,0.86679,0.96051,0.97253,0.7618,0.82055,0.55246,0.85159,1.49084e-05,1.49084e-05,1.49084e-05
135,5084.28,1.00569,0.69747,0.88775,0.86311,0.94578,0.96467,0.76057,0.83518,0.55503,0.85415,1.41032e-05,1.41032e-05,1.41032e-05
136,5113.76,0.9812,0.69786,0.8898,0.86424,0.9453,0.96456,0.76412,0.81981,0.54963,0.85119,1.3298e-05,1.3298e-05,1.3298e-05
137,5145.43,1.02719,0.71863,0.89,0.87137,0.94465,0.96578,0.7688,0.8045,0.5432,0.84868,1.24928e-05,1.24928e-05,1.24928e-05
138,5174.25,1.01118,0.69036,0.89107,0.87548,0.95587,0.9659,0.76205,0.81613,0.54652,0.85028,1.16876e-05,1.16876e-05,1.16876e-05
139,5204.06,0.99354,0.70776,0.88079,0.87567,0.95665,0.96597,0.76349,0.82384,0.54822,0.85148,1.08824e-05,1.08824e-05,1.08824e-05
140,5235.58,1.00797,0.69711,0.88641,0.86662,0.95478,0.96269,0.75857,0.8295,0.54825,0.85219,1.00772e-05,1.00772e-05,1.00772e-05
141,5275.18,1.07227,0.84412,0.90706,0.85856,0.95375,0.96395,0.7458,0.85983,0.57386,0.85803,9.272e-06,9.272e-06,9.272e-06
142,5309,1.02876,0.75635,0.92823,0.86442,0.9316,0.9594,0.74336,0.88132,0.60414,0.86357,8.4668e-06,8.4668e-06,8.4668e-06
143,5341.27,1.0247,0.73381,0.91287,0.85968,0.92916,0.95334,0.73568,0.89344,0.61676,0.86674,7.6616e-06,7.6616e-06,7.6616e-06
144,5373.68,1.00083,0.70727,0.88998,0.8347,0.94074,0.95138,0.7321,0.90815,0.62807,0.87086,6.8564e-06,6.8564e-06,6.8564e-06
145,5405.9,1.02273,0.7291,0.90524,0.82831,0.94385,0.95118,0.72679,0.9156,0.63417,0.87254,6.0512e-06,6.0512e-06,6.0512e-06
146,5437.79,0.96263,0.68348,0.89263,0.81755,0.94965,0.95242,0.72492,0.9248,0.63758,0.8743,5.246e-06,5.246e-06,5.246e-06
147,5467.68,0.95267,0.6686,0.89635,0.82883,0.94888,0.9529,0.72326,0.92894,0.63732,0.87476,4.4408e-06,4.4408e-06,4.4408e-06
148,5499.05,0.95366,0.684,0.88091,0.84424,0.93989,0.95544,0.72847,0.92615,0.636,0.8741,3.6356e-06,3.6356e-06,3.6356e-06
149,5533.28,0.96206,0.68929,0.89938,0.85579,0.93595,0.95536,0.72743,0.92328,0.63477,0.87323,2.8304e-06,2.8304e-06,2.8304e-06
150,5565.33,0.98062,0.67253,0.88212,0.85367,0.93769,0.95543,0.7283,0.92014,0.63167,0.87252,2.0252e-06,2.0252e-06,2.0252e-06
